Unnamed: 0,epsilon,cnn_accuracy,glrt_accuracy,psr_db,adv_trained,distill_trained,dae_trained
0,0.0,0.9767616191904048,0.969640179910045,-inf,0.9690779610194904,0.9668290854572712,0.9760119940029984
1,0.0007894736842105,0.9576461769115442,0.958583208395802,-37.97084718482446,0.927848575712144,0.9359070464767616,0.9413418290854572
2,0.001578947368421,0.8924287856071964,0.9434032983508246,-31.950247271544832,0.8761244377811095,0.867503748125937,0.8120314842578711
3,0.0023684210526315,0.7854197901049476,0.9280359820089956,-28.428422090431212,0.7985382308845578,0.787856071964018,0.6572338830584707
4,0.0031578947368421,0.6889055472263869,0.912856071964018,-25.929647358265214,0.7233883058470765,0.7001499250374813,0.5498500749625187
5,0.0039473684210526,0.6038230884557722,0.8969265367316341,-23.991447098104082,0.6334332833583208,0.6167541229385307,0.483695652173913
6,0.0047368421052631,0.526424287856072,0.8761244377811095,-22.407822177151587,0.532608695652174,0.547976011994003,0.4308470764617691
7,0.0055263157894736,0.4681409295352324,0.8643178410794603,-21.068886384539326,0.4578335832083958,0.4857571214392803,0.3826836581709145
8,0.0063157894736842,0.4122938530734633,0.8491379310344828,-19.90904744498559,0.3989880059970015,0.4508995502248875,0.3465142428785607
9,0.0071052631578947,0.3654422788605697,0.8382683658170914,-18.88599699603796,0.3461394302848575,0.4291604197901049,0.3238380809595202
10,0.0078947368421052,0.335832083958021,0.828335832083958,-17.970847184824457,0.2902923538230884,0.4089205397301349,0.3052848575712144
11,0.0086842105263157,0.3120314842578711,0.8195277361319341,-17.142993481659957,0.2455022488755622,0.3866191904047976,0.2796101949025487
12,0.0094736842105263,0.2899175412293853,0.8101574212893553,-16.387222263871962,0.2115817091454273,0.3618815592203898,0.2492503748125937
13,0.0102631578947368,0.2610569715142429,0.8013493253373314,-15.691980138687725,0.1815967016491754,0.3422038980509745,0.2205772113943028
14,0.0110526315789473,0.2286356821589205,0.7940404797601199,-15.0482864712597,0.1577961019490255,0.323463268365817,0.1904047976011994
15,0.0118421052631578,0.1964017991004497,0.787856071964018,-14.449022003710834,0.139055472263868,0.3064092953523238,0.1611694152923538
16,0.0126315789473684,0.168103448275862,0.777736131934033,-13.888447531705964,0.1236881559220389,0.2895427286356821,0.1328710644677661
17,0.0134210526315789,0.1514242878560719,0.7721139430284858,-13.361868757258982,0.1115067466266866,0.2708020989505247,0.1115067466266866
18,0.0142105263157894,0.1324962518740629,0.7693028485757122,-12.865397082758337,0.0983883058470764,0.2507496251874063,0.0955772113943028
19,0.015,0.1165667166416791,0.763680659670165,-12.39577516576788,0.0862068965517241,0.2224512743628185,0.0848950524737631
