Unnamed: 0,epsilon,cnn_accuracy,glrt_accuracy,psr_db,adv_trained,distill_trained,dae_trained
0,0.0,0.9767616191904048,0.969640179910045,-inf,0.9606446776611696,0.9668290854572712,0.9767616191904048
1,0.0007894736842105,0.958583208395802,0.958583208395802,-37.97084718482446,0.9280359820089956,0.9362818590704648,0.9450899550224888
2,0.001578947368421,0.8988005997001499,0.9417166416791604,-31.950247271544832,0.8826836581709145,0.8699400299850075,0.8333958020989505
3,0.0023684210526315,0.8015367316341829,0.9284107946026986,-28.428422090431212,0.815592203898051,0.8204647676161919,0.7098950524737632
4,0.0031578947368421,0.7175787106446777,0.9083583208395802,-25.929647358265214,0.75,0.748688155922039,0.6199400299850075
5,0.0039473684210526,0.6478635682158921,0.8884932533733133,-23.991447098104082,0.6759745127436282,0.6746626686656672,0.5522863568215892
6,0.0047368421052631,0.5839580209895052,0.8729385307346327,-22.407822177151587,0.6077586206896551,0.6064467766116941,0.5039355322338831
7,0.0055263157894736,0.5357946026986506,0.8519490254872564,-21.068886384539326,0.5487256371814093,0.5515367316341829,0.4653298350824588
8,0.0063157894736842,0.4956896551724138,0.8332083958020989,-19.90904744498559,0.4947526236881559,0.5069340329835083,0.4284107946026986
9,0.0071052631578947,0.4612068965517241,0.815592203898051,-18.88599699603796,0.4548350824587706,0.4782608695652174,0.396551724137931
10,0.0078947368421052,0.4239130434782608,0.7983508245877061,-17.970847184824457,0.4203523238380809,0.4580209895052474,0.3791229385307346
11,0.0086842105263157,0.3950524737631184,0.7831709145427287,-17.142993481659957,0.3883058470764617,0.4424662668665667,0.3611319340329835
12,0.0094736842105263,0.3766866566716642,0.7698650674662668,-16.387222263871962,0.3577586206896552,0.4287856071964018,0.3502623688155922
13,0.0102631578947368,0.3646926536731634,0.7569340329835083,-15.691980138687725,0.3369565217391304,0.4128560719640179,0.3407046476761619
14,0.0110526315789473,0.3528860569715142,0.7423163418290855,-15.0482864712597,0.3135307346326836,0.3928035982008995,0.3266491754122939
15,0.0118421052631578,0.3437031484257871,0.7275112443778111,-14.449022003710834,0.2919790104947526,0.3778110944527736,0.3103448275862069
16,0.0126315789473684,0.3352698650674662,0.7138305847076462,-13.888447531705964,0.271551724137931,0.3654422788605697,0.2977886056971514
17,0.0134210526315789,0.3244002998500749,0.7029610194902549,-13.361868757258982,0.25,0.3585082458770615,0.2835457271364318
18,0.0142105263157894,0.3118440779610195,0.6926536731634183,-12.865397082758337,0.233695652173913,0.3493253373313343,0.2751124437781109
19,0.015,0.2998500749625187,0.6812218890554723,-12.39577516576788,0.2181409295352324,0.3429535232383808,0.2646176911544228
